n    , L1AlgoName                                                     , 2.20   , 2.00   , 2.01   , 2.02   , 1.80   , 1.81    POG         , PAG           , Comment                         , uGT 
#250 , L1_IsoEG24er2p1_Jet26er3p0_dR_Min0p3                           , 0      , 0      , 0      , 0      , 0      , 0      , Correlation , Top           , L1TDPG84                        , Drop
251  , L1_IsoEG26er2p1_Jet34er3p0_dR_Min0p3                           , 0      , 0      , 0      , 0      , 0      , 0      , Correlation , Top           , L1TDPG84                        ,     
252  , L1_IsoEG28er2p1_Jet34er3p0_dR_Min0p3                           , 0      , 0      , 0      , 0      , 1      , 0      , Correlation , Top           , L1TDPG84                        ,     
253  , L1_IsoEG30er2p1_Jet34er3p0_dR_Min0p3                           , 1      , 1      , 1      , 1      , 1      , 1      , Correlation , Top           , L1TDPG84                        ,     
254  , L1_IsoEG24er2p1_HTT100er                                       , 0      , 0      , 0      , 0      , 0      , 0      , Cross       , Top           , L1TDPG84                        ,     
255  , L1_IsoEG26er2p1_HTT100er                                       , 0      , 0      , 0      , 0      , 1      , 0      , Cross       , Top           , L1TDPG84                        ,     
256  , L1_IsoEG28er2p1_HTT100er                                       , 1      , 1      , 1      , 1      , 1      , 1      , Cross       , Top           , L1TDPG84                        ,     
#257 , L1_IsoEG24er2p1_TripleJet_26er3p0_26_26er3p0                   , 0      , 0      , 0      , 0      , 0      , 0      ,             ,               , L1TDPG105                       , Drop
#258 , L1_Mu18_HTT100er                                               , 1      , 1      , 1      , 1      , 1      , 1      , Cross       , Top           , L1TDPG84                        , Drop
#259 , L1_Mu18_Jet24er3p0                                             , 0      , 0      , 0      , 0      , 0      , 0      , Cross       ,               , L1TDPG105                       , Drop
260  , L1_Mu20_EG17                                                   , 1      , 1      , 1      , 1      , 1      , 1      , Cross       , Top           , L1TDPG76 #Sergio123             ,     
261  , L1_Mu23_EG10                                                   , 1      , 1      , 1      , 1      , 1      , 1      , Cross       , Top           , L1TDPG76  #Sergio123            ,     
262  , L1_Mu23_IsoEG10                                                , 1      , 1      , 1      , 1      , 1      , 1      , Cross       , Top           , L1TDPG76  #Sergio123            ,     
263  , L1_Mu5_EG23                                                    , 0      , 0      , 0      , 0      , 1      , 0      , Cross       , Top           , L1TDPG76  #Sergio1              ,     
264  , L1_Mu5_IsoEG20                                                 , 0      , 0      , 0      , 0      , 1      , 0      , Cross       , Top           , L1TDPG76  #Sergio1              ,     
265  , L1_Mu7_EG23                                                    , 0      , 1      , 1      , 1      , 1      , 1      , Cross       , Top           , L1TDPG76  #Sergio2              ,     
